Date,Zone1,Zone2,Zone3,Zone4
9/1/2014,0.313,0.206,0.253,0.267
9/2/2014,0.278,0.213,0.274,0.283
9/3/2014,0.322,0.322,0.351,0.347
9/4/2014,0.291,0.254,0.304,0.283
9/5/2014,0.289,0.24,0.284,0.271
9/6/2014,0.221,0.172,0.224,0.305
9/7/2014,0.215,0.154,0.221,0.221
9/8/2014,0.213,0.15,0.218,0.201
9/9/2014,0.213,0.149,0.223,0.198
9/10/2014,0.206,0.154,0.221,0.193
9/11/2014,0.205,0.154,0.181666667,0.186
9/12/2014,0.285,0.24,0.269333333,0.283
9/13/2014,0.21,0.147,0.22,0.195
9/14/2014,0.21,0.147,0.22,0.196
9/15/2014,0.21,0.147,0.22,0.196
9/16/2014,0.211,0.148,0.221,0.197
9/17/2014,0.211,0.148,0.222,0.197
9/18/2014,0.211,0.148,0.222,0.198
9/19/2014,0.211,0.151,0.223,0.198
9/20/2014,0.212,0.158,0.223,0.198
9/21/2014,0.212,0.158,0.223,0.199
9/22/2014,0.212,0.159,0.224,0.199
9/23/2014,0.212,0.159,0.224,0.199
9/24/2014,0.211,0.158,0.223,0.199
9/25/2014,0.211,0.158,0.223,0.198
9/26/2014,0.211,0.158,0.222,0.197
9/27/2014,0.21,0.157,0.222,0.196
9/28/2014,0.21,0.157,0.222,0.196
9/29/2014,0.21,0.157,0.222,0.196
9/30/2014,0.209,0.156,0.222,0.195
